ds,trend,cap,floor,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_lower,yhat_upper,trend_lower,trend_upper,yhat,y
2020-02-17T00:00:00Z,244.80533280110953,260,180,0.5351912673458878,0.5351912673458878,0.5351912673458878,0.5351912673458878,0.5351912673458878,0.5351912673458878,0,0,0,243.65243831767887,247.04301407637016,244.80533280110953,244.80533280110953,245.3405240684554,251.33
2020-02-18T00:00:00Z,244.58707791827533,260,180,-0.010582125753818684,-0.010582125753818684,-0.010582125753818684,-0.010582125753818684,-0.010582125753818684,-0.010582125753818684,0,0,0,242.88297853349593,246.16173991551696,244.58707791827533,244.58707791827533,244.5764957925215,248.02
2020-02-19T00:00:00Z,244.366444323219,260,180,-0.0010694584295092167,-0.0010694584295092167,-0.0010694584295092167,-0.0010694584295092167,-0.0010694584295092167,-0.0010694584295092167,0,0,0,242.80354474612298,246.07089761422355,244.366444323219,244.366444323219,244.36537486478952,247.36
2020-02-20T00:00:00Z,244.14342778555795,260,180,-0.3710614024084689,-0.3710614024084689,-0.3710614024084689,-0.3710614024084689,-0.3710614024084689,-0.3710614024084689,0,0,0,242.1431374676738,245.620335285176,244.14342778555795,244.14342778555795,243.7723663831495,246.48
2020-02-21T00:00:00Z,243.91802473209202,260,180,0.1231385879712868,0.1231385879712868,0.1231385879712868,0.1231385879712868,0.1231385879712868,0.1231385879712868,0,0,0,242.38792505584973,245.6514899166033,243.91802473209202,243.91802473209202,244.0411633200633,246.03
2020-02-22T00:00:00Z,243.69023226284173,260,180,-0.3722883410040582,-0.3722883410040582,-0.3722883410040582,-0.3722883410040582,-0.3722883410040582,-0.3722883410040582,0,0,0,241.57408178202706,244.9908300095067,243.69023226284173,243.69023226284173,243.31794392183767,245.6
2020-02-23T00:00:00Z,243.46004816695773,260,180,0.09667147228032988,0.09667147228032988,0.09667147228032988,0.09667147228032988,0.09667147228032988,0.09667147228032988,0,0,0,241.98954288399727,245.20138241599912,243.46004816695773,243.46004816695773,243.55671963923805,245.15
2020-02-24T00:00:00Z,243.2274709386534,260,180,0.5351912673446312,0.5351912673446312,0.5351912673446312,0.5351912673446312,0.5351912673446312,0.5351912673446312,0,0,0,242.058808006158,245.37394245203086,243.2274709386534,243.2274709386534,243.76266220599803,244.93
2020-02-25T00:00:00Z,242.9924997922749,260,180,-0.01058212575578234,-0.01058212575578234,-0.01058212575578234,-0.01058212575578234,-0.01058212575578234,-0.01058212575578234,0,0,0,241.42240875768928,244.54266962077,242.9924997922749,242.9924997922749,242.98191766651914,243.17
2020-02-26T00:00:00Z,242.7551346782057,260,180,-0.0010694584300713886,-0.0010694584300713886,-0.0010694584300713886,-0.0010694584300713886,-0.0010694584300713886,-0.0010694584300713886,0,0,0,241.1948314961835,244.35026469690743,242.7551346782057,242.7551346782057,242.75406521977564,243.39
